step,sweep,name,d_model,n_heads,num_layers,ff_dim,dropout,learning_rate,runs,seeds,dev_slot_f1_mean,dev_slot_f1_std,dev_intent_accuracy_mean,dev_intent_accuracy_std,test_slot_f1_mean,test_slot_f1_std,test_intent_accuracy_mean,test_intent_accuracy_std,best_checkpoint_path
1,learning_rate,seq_lr_5em04,384,8,1,256,0.0,0.0005,3,42 101 27,0.9542,0.0005,,,0.8940,0.0018,0.9504,0.0023,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em04_seed_101.pt
2,d_model,seq_d_model_384,384,8,1,256,0.0,0.0005,3,42 101 27,0.9542,0.0005,,,0.8940,0.0018,0.9504,0.0023,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_384_seed_101.pt
3,n_heads,seq_n_heads_8,384,8,1,256,0.0,0.0005,3,42 101 27,0.9542,0.0005,,,0.8940,0.0018,0.9504,0.0023,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_n_heads_8_seed_101.pt
4,num_layers,seq_num_layers_1,384,8,1,256,0.0,0.0005,3,42 101 27,0.9542,0.0005,,,0.8940,0.0018,0.9504,0.0023,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_num_layers_1_seed_101.pt
5,ff_dim,seq_ff_dim_256,384,8,1,256,0.0,0.0005,3,42 101 27,0.9542,0.0005,,,0.8940,0.0018,0.9504,0.0023,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_ff_dim_256_seed_101.pt
6,dropout,seq_dropout_0.1,384,8,1,256,0.1,0.0005,3,42 101 27,0.9580,0.0014,,,0.9005,0.0024,0.9507,0.0082,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_dropout_0.1_seed_101.pt
1,learning_rate,seq_lr_5em04,384,8,1,256,0.0,0.0005,3,42 101 27,0.9542,0.0005,0.9766,0.0062,0.8940,0.0018,0.9504,0.0023,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em04_seed_101.pt
2,d_model,seq_d_model_384,384,8,1,256,0.0,0.0005,3,42 101 27,0.9542,0.0005,0.9766,0.0062,0.8940,0.0018,0.9504,0.0023,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_384_seed_101.pt
3,n_heads,seq_n_heads_8,384,8,1,256,0.0,0.0005,3,42 101 27,0.9542,0.0005,0.9766,0.0062,0.8940,0.0018,0.9504,0.0023,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_n_heads_8_seed_101.pt
4,num_layers,seq_num_layers_1,384,8,1,256,0.0,0.0005,3,42 101 27,0.9542,0.0005,0.9766,0.0062,0.8940,0.0018,0.9504,0.0023,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_num_layers_1_seed_101.pt
5,ff_dim,seq_ff_dim_256,384,8,1,256,0.0,0.0005,3,42 101 27,0.9542,0.0005,0.9766,0.0062,0.8940,0.0018,0.9504,0.0023,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_ff_dim_256_seed_101.pt
6,dropout,seq_dropout_0.1,384,8,1,256,0.1,0.0005,3,42 101 27,0.9580,0.0014,0.9826,0.0050,0.9005,0.0024,0.9507,0.0082,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_dropout_0.1_seed_101.pt
1,learning_rate,seq_lr_5em04,384,8,1,256,0.0,0.0005,3,42 101 27,0.9536,0.0015,0.9806,0.0009,0.8927,0.0050,0.9552,0.0032,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em04_seed_101.pt
2,d_model,seq_d_model_384,384,8,1,256,0.0,0.0005,3,42 101 27,0.9536,0.0015,0.9806,0.0009,0.8927,0.0050,0.9552,0.0032,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_384_seed_101.pt
3,n_heads,seq_n_heads_16,384,16,1,256,0.0,0.0005,3,42 101 27,0.9542,0.0026,0.9813,0.0009,0.8958,0.0048,0.9489,0.0046,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_n_heads_16_seed_27.pt
4,num_layers,seq_num_layers_1,384,16,1,256,0.0,0.0005,3,42 101 27,0.9542,0.0026,0.9813,0.0009,0.8958,0.0048,0.9489,0.0046,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_num_layers_1_seed_27.pt
1,learning_rate,seq_lr_5em05,256,1,1,1024,0.0,5e-05,3,42 101 27,0.9501,0.0010,0.9819,0.0000,0.8976,0.0021,0.9433,0.0041,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em05_seed_42.pt
2,d_model,seq_d_model_384,384,1,1,1024,0.0,5e-05,3,42 101 27,0.9502,0.0028,0.9826,0.0019,0.8928,0.0045,0.9425,0.0019,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_384_seed_101.pt
3,n_heads,seq_n_heads_2,384,2,1,1024,0.0,5e-05,3,42 101 27,0.9539,0.0020,0.9853,0.0019,0.8930,0.0054,0.9425,0.0014,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_n_heads_2_seed_101.pt
4,num_layers,seq_num_layers_1,384,2,1,1024,0.0,5e-05,3,42 101 27,0.9539,0.0020,0.9853,0.0019,0.8930,0.0054,0.9425,0.0014,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_num_layers_1_seed_101.pt
5,ff_dim,seq_ff_dim_1024,384,2,1,1024,0.0,5e-05,3,42 101 27,0.9539,0.0020,0.9853,0.0019,0.8930,0.0054,0.9425,0.0014,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_ff_dim_1024_seed_101.pt
6,dropout,seq_dropout_0.0,384,2,1,1024,0.0,5e-05,3,42 101 27,0.9539,0.0020,0.9853,0.0019,0.8930,0.0054,0.9425,0.0014,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_dropout_0.0_seed_101.pt
