model,model_type,pretrained_model_name,sweep,value,max_length,batch_size,eval_batch_size,epochs,patience,learning_rate,dropout,intent_loss_weight,slot_loss_weight,warmup_ratio,weight_decay,runs,seeds,dev_slot_f1_mean,dev_slot_f1_std,dev_intent_accuracy_mean,dev_intent_accuracy_std,test_slot_f1_mean,test_slot_f1_std,test_intent_accuracy_mean,test_intent_accuracy_std,best_checkpoint_path
gpt2,gpt2,gpt2,learning_rate,1e-05,128,16,32,100,3,1e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9611,0.0000,0.9940,0.0000,0.9207,0.0000,0.9720,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_1em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,learning_rate,2e-05,128,16,32,100,3,2e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9690,0.0000,0.9940,0.0000,0.9285,0.0000,0.9720,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_2em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,learning_rate,3e-05,128,16,32,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9682,0.0000,0.9940,0.0000,0.9243,0.0000,0.9720,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_3em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,learning_rate,1e-05,128,64,128,100,3,1e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9620,0.0000,0.9960,0.0000,0.9163,0.0000,0.9720,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_1em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,learning_rate,2e-05,128,64,128,100,3,2e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9629,0.0000,0.9920,0.0000,0.9240,0.0000,0.9754,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_2em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,learning_rate,3e-05,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9667,0.0000,0.9940,0.0000,0.9263,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_3em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,learning_rate,5e-05,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9661,0.0000,0.9900,0.0000,0.9234,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_5em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,batch_size,8,128,8,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9647,0.0000,0.9960,0.0000,0.9192,0.0000,0.9698,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/batch_size_8/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,batch_size,16,128,16,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9682,0.0000,0.9940,0.0000,0.9243,0.0000,0.9720,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/batch_size_16/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,batch_size,32,128,32,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9655,0.0000,0.9960,0.0000,0.9272,0.0000,0.9720,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/batch_size_32/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,dropout,0.0,128,16,128,100,3,3e-05,0.0,1.0,1.0,0.1,0.01,1,42,0.9673,0.0000,0.9920,0.0000,0.9273,0.0000,0.9698,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/dropout_0p0/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,learning_rate,1e-05,128,64,128,100,3,1e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9620,0.0000,0.9960,0.0000,0.9163,0.0000,0.9720,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_1em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,learning_rate,2e-05,128,64,128,100,3,2e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9629,0.0000,0.9920,0.0000,0.9240,0.0000,0.9754,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_2em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,learning_rate,3e-05,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9667,0.0000,0.9940,0.0000,0.9263,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_3em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,learning_rate,5e-05,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9661,0.0000,0.9900,0.0000,0.9234,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_5em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,learning_rate,1e-05,128,64,128,100,3,1e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9620,0.0000,0.9960,0.0000,0.9163,0.0000,0.9720,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_1em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,learning_rate,2e-05,128,64,128,100,3,2e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9629,0.0000,0.9920,0.0000,0.9240,0.0000,0.9754,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_2em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,learning_rate,3e-05,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9667,0.0000,0.9940,0.0000,0.9263,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_3em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,learning_rate,5e-05,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9661,0.0000,0.9900,0.0000,0.9234,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_5em05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,dropout,0.0,128,64,128,100,3,3e-05,0.0,1.0,1.0,0.1,0.01,1,42,0.9646,0.0000,0.9920,0.0000,0.9223,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/dropout_0p0/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,dropout,0.1,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9667,0.0000,0.9940,0.0000,0.9263,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/dropout_0p1/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,dropout,0.2,128,64,128,100,3,3e-05,0.2,1.0,1.0,0.1,0.01,1,42,0.9643,0.0000,0.9920,0.0000,0.9283,0.0000,0.9642,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/dropout_0p2/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,dropout,0.3,128,64,128,100,3,3e-05,0.3,1.0,1.0,0.1,0.01,1,42,0.9650,0.0000,0.9920,0.0000,0.9282,0.0000,0.9686,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/dropout_0p3/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,weight_decay,0.0,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.0,1,42,0.9673,0.0000,0.9940,0.0000,0.9273,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/weight_decay_0p0/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,weight_decay,0.01,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9667,0.0000,0.9940,0.0000,0.9263,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/weight_decay_0p01/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,weight_decay,0.05,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.05,1,42,0.9667,0.0000,0.9920,0.0000,0.9282,0.0000,0.9754,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/weight_decay_0p05/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,weight_decay,0.1,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.1,1,42,0.9670,0.0000,0.9920,0.0000,0.9264,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/weight_decay_0p1/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,warmup_ratio,0.0,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.0,0.0,1,42,0.9655,0.0000,0.9920,0.0000,0.9258,0.0000,0.9698,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/warmup_ratio_0p0/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,warmup_ratio,0.06,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.06,0.0,1,42,0.9650,0.0000,0.9900,0.0000,0.9246,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/warmup_ratio_0p06/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,warmup_ratio,0.1,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.0,1,42,0.9673,0.0000,0.9940,0.0000,0.9273,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/warmup_ratio_0p1/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,slot_loss_weight,0.75,128,64,128,100,3,3e-05,0.1,1.0,0.75,0.1,0.0,1,42,0.9679,0.0000,0.9940,0.0000,0.9302,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/slot_loss_weight_0p75/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,slot_loss_weight,1.0,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.0,1,42,0.9673,0.0000,0.9940,0.0000,0.9273,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/slot_loss_weight_1p0/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,slot_loss_weight,1.5,128,64,128,100,3,3e-05,0.1,1.0,1.5,0.1,0.0,1,42,0.9679,0.0000,0.9920,0.0000,0.9224,0.0000,0.9709,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/slot_loss_weight_1p5/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,slot_loss_weight,2.0,128,64,128,100,3,3e-05,0.1,1.0,2.0,0.1,0.0,1,42,0.9652,0.0000,0.9920,0.0000,0.9221,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/slot_loss_weight_2p0/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,max_length,64,64,64,128,100,3,3e-05,0.1,1.0,0.75,0.1,0.0,1,42,0.9679,0.0000,0.9940,0.0000,0.9302,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/max_length_64/seed_42/best_gpt2_gpt2.pt
gpt2,gpt2,gpt2,max_length,128,128,64,128,100,3,3e-05,0.1,1.0,0.75,0.1,0.0,1,42,0.9679,0.0000,0.9940,0.0000,0.9302,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/max_length_128/seed_42/best_gpt2_gpt2.pt
gpt2-medium,gpt2,gpt2-medium,learning_rate,1e-05,128,64,128,100,3,1e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9669,0.0000,0.9920,0.0000,0.9210,0.0000,0.9776,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/learning_rate_1em05/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,learning_rate,2e-05,128,64,128,100,3,2e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9652,0.0000,0.9920,0.0000,0.9202,0.0000,0.9765,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/learning_rate_2em05/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,learning_rate,3e-05,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9690,0.0000,0.9940,0.0000,0.9324,0.0000,0.9754,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/learning_rate_3em05/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,learning_rate,5e-05,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9723,0.0000,0.9920,0.0000,0.9251,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/learning_rate_5em05/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,dropout,0.0,128,64,128,100,3,5e-05,0.0,1.0,1.0,0.1,0.01,1,42,0.9690,0.0000,0.9940,0.0000,0.9237,0.0000,0.9787,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/dropout_0p0/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,dropout,0.1,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9723,0.0000,0.9920,0.0000,0.9251,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/dropout_0p1/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,dropout,0.2,128,64,128,100,3,5e-05,0.2,1.0,1.0,0.1,0.01,1,42,0.9707,0.0000,0.9940,0.0000,0.9253,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/dropout_0p2/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,dropout,0.3,128,64,128,100,3,5e-05,0.3,1.0,1.0,0.1,0.01,1,42,0.9675,0.0000,0.9940,0.0000,0.9272,0.0000,0.9720,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/dropout_0p3/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,weight_decay,0.0,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.1,0.0,1,42,0.9678,0.0000,0.9920,0.0000,0.9305,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/weight_decay_0p0/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,weight_decay,0.01,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9723,0.0000,0.9920,0.0000,0.9251,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/weight_decay_0p01/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,weight_decay,0.05,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.1,0.05,1,42,0.9699,0.0000,0.9960,0.0000,0.9286,0.0000,0.9765,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/weight_decay_0p05/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,weight_decay,0.1,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.1,0.1,1,42,0.9719,0.0000,0.9920,0.0000,0.9343,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/weight_decay_0p1/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,warmup_ratio,0.0,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.0,0.01,1,42,0.9690,0.0000,0.9940,0.0000,0.9274,0.0000,0.9754,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/warmup_ratio_0p0/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,warmup_ratio,0.06,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.06,0.01,1,42,0.9693,0.0000,0.9900,0.0000,0.9280,0.0000,0.9754,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/warmup_ratio_0p06/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,warmup_ratio,0.1,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9723,0.0000,0.9920,0.0000,0.9251,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/warmup_ratio_0p1/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,slot_loss_weight,0.75,128,64,128,100,3,5e-05,0.1,1.0,0.75,0.1,0.01,1,42,0.9693,0.0000,0.9960,0.0000,0.9232,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/slot_loss_weight_0p75/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,slot_loss_weight,1.0,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9723,0.0000,0.9920,0.0000,0.9251,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/slot_loss_weight_1p0/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,slot_loss_weight,1.5,128,64,128,100,3,5e-05,0.1,1.0,1.5,0.1,0.01,1,42,0.9693,0.0000,0.9960,0.0000,0.9310,0.0000,0.9709,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/slot_loss_weight_1p5/seed_42/best_gpt2_gpt2-medium.pt
gpt2-medium,gpt2,gpt2-medium,slot_loss_weight,2.0,128,64,128,100,3,5e-05,0.1,1.0,2.0,0.1,0.01,1,42,0.9643,0.0000,0.9920,0.0000,0.9191,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/slot_loss_weight_2p0/seed_42/best_gpt2_gpt2-medium.pt
